Program,Version,Program build date,Command line,Start time,Stop time,Elapsed time (seconds),Status
"ClipData",2.66,"Aug  6 2018 10:55:49"," /zmin:0.4 E:\Palancia\TLS\9_Normalized_PointClouds\Z4_filtered_Normalized.las E:\Palancia\TLS\11_Perimeter\Z4_filtered_Normalized_perimeter.las  0 0 9999999 9999999","Tue Feb 12 09:56:51 2019","Tue Feb 12 09:56:51 2019",0,Success
"CanopyModel",1.97,"Aug  6 2018 10:55:44"," /ground:E:\Palancia\TLS\7_MDT\Z9_filtered_ground.mdt E:\Palancia\TLS\8_Canopy_Model\Z9_filtered_CanopyModel.mdt 0.05 m m 1 30 2 3 E:\Palancia\TLS\3_TLS_Noise\Z9_filtered_cleaned.las","Tue Feb 12 09:57:40 2019","Tue Feb 12 09:57:40 2019",0,Errors
"CanopyModel",1.97,"Aug  6 2018 10:55:44"," /ground:E:\Palancia\TLS\7_MDT\UAV_Clip_Z9_filtered_ground.mdt E:\Palancia\TLS\8_Canopy_Model\UAV_Clip_Z9_filtered_CanopyModel.mdt 0.05 m m 1 30 2 3 E:\Palancia\TLS\5_Photogrammetry_Clip\UAV_Clip_Z9_filtered.las","Tue Feb 12 09:57:40 2019","Tue Feb 12 09:57:40 2019",0,Errors
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," /outlier:-0.30,2.5 /minht:0.25 E:\Palancia\TLS\9_Normalized_PointClouds\*Z9_filtered_Normalized.las E:\Palancia\TLS\10_CloudMetrics\Z9_filtered.csv ","Tue Feb 12 09:57:40 2019","Tue Feb 12 09:57:40 2019",0,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /zmin:0.4 E:\Palancia\TLS\9_Normalized_PointClouds\UAV_Clip_Z9_filtered_Normalized.las E:\Palancia\TLS\11_Perimeter\UAV_Clip_Z9_filtered_Normalized_perimeter.las  0 0 9999999 9999999","Tue Feb 12 09:57:40 2019","Tue Feb 12 09:57:40 2019",0,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /zmin:0.4 E:\Palancia\TLS\9_Normalized_PointClouds\Z9_filtered_Normalized.las E:\Palancia\TLS\11_Perimeter\Z9_filtered_Normalized_perimeter.las  0 0 9999999 9999999","Tue Feb 12 09:57:40 2019","Tue Feb 12 09:57:40 2019",0,Success
"CanopyModel",1.97,"Aug  6 2018 10:55:44"," /ground:E:\Palancia\TLS\7_MDT\Z14_filtered_ground.mdt E:\Palancia\TLS\8_Canopy_Model\Z14_filtered_CanopyModel.mdt 0.05 m m 1 30 2 3 E:\Palancia\TLS\3_TLS_Noise\Z14_filtered_cleaned.las","Tue Feb 12 09:58:24 2019","Tue Feb 12 09:58:24 2019",0,Errors
"CanopyModel",1.97,"Aug  6 2018 10:55:44"," /ground:E:\Palancia\TLS\7_MDT\UAV_Clip_Z14_filtered_ground.mdt E:\Palancia\TLS\8_Canopy_Model\UAV_Clip_Z14_filtered_CanopyModel.mdt 0.05 m m 1 30 2 3 E:\Palancia\TLS\5_Photogrammetry_Clip\UAV_Clip_Z14_filtered.las","Tue Feb 12 09:58:24 2019","Tue Feb 12 09:58:24 2019",0,Errors
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," /outlier:-0.30,2.5 /minht:0.25 E:\Palancia\TLS\9_Normalized_PointClouds\*Z14_filtered_Normalized.las E:\Palancia\TLS\10_CloudMetrics\Z14_filtered.csv ","Tue Feb 12 09:58:24 2019","Tue Feb 12 09:58:24 2019",0,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /zmin:0.4 E:\Palancia\TLS\9_Normalized_PointClouds\UAV_Clip_Z14_filtered_Normalized.las E:\Palancia\TLS\11_Perimeter\UAV_Clip_Z14_filtered_Normalized_perimeter.las  0 0 9999999 9999999","Tue Feb 12 09:58:24 2019","Tue Feb 12 09:58:24 2019",0,Success
